Id,Name,Team,Type
1000403977.0," Boyd , Joshua",FIS_COL,Batter
1000056285.0," Camarda, Brad",HOF_PRI,Pitcher
1000056268.0," Morash, Ryan",HOF_PRI,Batter
1000099703.0," Reynolds, Cole",ELO_PHO,Pitcher
1000099703.0," Reynolds, Cole",ELO_PHO,Batter
1000056274.0," Rue, Ryan",HOF_PRI,Pitcher
1000055698.0," Walker, Brady",CEN_BEA,Pitcher
,", #1",ISR_WBC,Batter
,", #10",ISR_WBC,Batter
,", #15",ISR_WBC,Batter
,", #2",ISR_WBC,Batter
,", #21",ISR_WBC,Pitcher
,", #22",ISR_WBC,Batter
,", #23",ISR_WBC,Batter
,", #28",ISR_WBC,Batter
,", #4",ISR_WBC,Batter
,", #7",ISR_WBC,Batter
,", Michael Burroughs",PRA_PAN,Batter
,", Peter Vasquez",BET_WIL,Batter
,", Ty Harris",BRO_BEA,Pitcher
,", a",MEM_TIG13,Batter
,", caden",SAL_JAG,Pitcher
,", d",SOU_SQU4,Batter
,", dd",SOU_SQU4,Batter
,", f",SOU_SQU4,Batter
,"47, ",LIB_FLA,Pitcher
,":Lee, Cory",GEO_SOU,Batter
,"?, ?",SCC_C,Batter
,"ANDERSON, INDY ",COP_STA,Batter
811739.0,"Aaron, Carrington",VIR_TEC,Batter
10113514.0,"Aarts, Carter",NIA_EAG,Batter
10016482.0,"Abad, Adrian",SOU_WES1,Pitcher
1000161033.0,"Abadie, Connor",SAN_AZT,Pitcher
808844.0,"Abbadessa, Jude",UCO_HUS,Pitcher
1000123152.0,"Abbatine, Anthony",SPU_PEA,Batter
1000164336.0,"Abbazia, Joseph",FAU_OWL,Pitcher
1000238351.0,"Abbey, Zach",FAU_OWL,Pitcher
1000121675.0,"Abbott, Levi",CAN_GRI,Pitcher
10021702.0,"Abbott, Tate",MID_GEO,Batter
1000301756.0,"Abel, Coleson",LAM_CAR,Pitcher
1000069117.0,"Abel, Trent",CAL_MAT,Batter
814726.0,"Abel, Trent",CAL_MAT,Batter
1000072162.0,"Abeldt, Benjamin",TCU_HFG,Pitcher
10301848.0,"Abell, Mark",ARM_BLA,Batter
10301848.0,"Abell, Mark",ARM_BLA,Pitcher
1000080417.0,"Abello, Carlos",PRI_TIG,Batter
1000230531.0,"Abercrombie, Ethan",LIN_UNI,Batter
1000197966.0,"Abernathey, Ben",UAB_BLA,Batter
1000197966.0,"Abernathy, Ben",UAB_BLA,Batter
1000197966.0,"Abernathy, Ben",UAB_BLA,Pitcher
10079482.0,"Abernathy, Jackson",KEN_OWL,Pitcher
1000209298.0,"Abernathy, Jay",TEN_VOL,Batter
815337.0,"Abernathy, Jay",TEN_VOL,Batter
10028075.0,"Abler, Andrew",HAR_CRI,Pitcher
10101907.0,"Abler, Andrew",HAR_CRI,Pitcher
1000186311.0,"Ables, Dawson",MOU_OLV,Pitcher
1000186311.0,"Ables, Dawson",MOU_OLV,Batter
1000334427.0,"Abner, Jaisen",SEA_RED,Batter
10148784.0,"Abner, Jaisen",SEA_RED,Batter
1000047749.0,"Abner, Philip",FLA_GAT,Pitcher
1000316161.0,"Abney, Owen",BEL_UNI1,Batter
1000056423.0,"Abraham ,Ty",MCN_COW,Pitcher
1000298225.0,"Abraham, Caden",TUF_UNI,Batter
1000146335.0,"Abraham, John",FLO_SEM,Pitcher
1000214822.0,"Abraham, Nic",TEN_VOL,Pitcher
815338.0,"Abraham, Nic",TEN_VOL,Pitcher
1000297635.0,"Abraham, Todd",BIN_BEA,Batter
1000056423.0,"Abraham, Ty",MCN_COW,Pitcher
1000030096.0,"Abram, Ben",OKL_COW,Pitcher
1000090962.0,"Abrams, Gavin",CLE_TIG,Batter
803118.0,"Abrams, Gavin",OLD_MON,Batter
1000079974.0,"Abrams, Kohl",NCA_BUL,Batter
1000121669.0,"Abramson, Joe",CAN_GRI,Pitcher
1000301828.0,"Abreu, Julian",MAR_RED,Batter
10916327.0,"Abreu, Wilton",WIL_UNI1,Pitcher
1000090149.0,"Abrisz, Kody",FRO_STA,Batter
1000277196.0,"Abriz, Kade",PAT_HEN,Batter
1000277198.0,"Abriz, Kody",PAT_HEN,Batter
1000092150.0,"Abromitis, Mason",ELO_PHO,Batter
10148685.0,"Absher, Jake",TUS_PIO,Batter
1000228879.0,"Absher, Luke",TUS_PIO,Pitcher
1000131843.0,"Abshier, Randy",HAW_WAR,Pitcher
1000123517.0,"Abshire, Matt",ULM_WAR,Batter
824289.0,"Abulhosn, Marques",GON_BUL,Batter
10292104.0,"Abulhosn, Marques",GON_BUL,Batter
811257.0,"Acal, Justin",NEV_WOL,Batter
1000097666.0,"Acal, Justin",PIT_PAN,Batter
1000218844.0,"Acal, Justin",PIT_PAN,Batter
1000143049.0,"Aceto, Mike",UMA_AMH,Pitcher
1000216765.0,"Acevado, Angel",NOK_NOR,Pitcher
10056640.0,"Acevedo, Ethan",COP_STA,Batter
1000223066.0,"Aceves, Nathan",SAN_GAU,Pitcher
1000119950.0,"Ackenhausen, Nathan",LSU_TIG,Pitcher
1000136821.0,"Acker, Kole",CHA_COL,Pitcher
10028298.0,"Acker, Ty",GEO_COL,Batter
801904.0,"Acker, Ty",GEO_COL,Batter
90000216715.0,"Ackerman, Jess",MER_BEA,Pitcher
1000133213.0,"Ackerman, Jess",MER_BEA,Pitcher
1000052007.0,"Ackerman, Nolan",SOU_RED,Batter
1000121689.0,"Ackermann, Dylan",LOR_DUH,Pitcher
1000211932.0,"Acosta, Angel",ALV_CCO,Pitcher
1000084578.0,"Acosta, Jaykob",FRE_BUL,Pitcher
804753.0,"Acosta, Jaykob",FRE_BUL,Pitcher
1000119216.0,"Acosta, Joey",UNL_REB,Pitcher
1000054747.0,"Acosta, Joseph",ETS_BUC,Pitcher
1000394047.0,"Acosta, Miguel",THO_C,Batter
1000054979.0,"Acosta, Rafael",GEO_PAN,Pitcher
1000127067.0,"Acosta, Riley",CAL_AGO,Batter
1000396737.0,"Acree, Casey",BAR_COM,Batter
1000233797.0,"Acres, Brodey",WAL_UNI,Batter
10089881.0,"Acton, Mason",BEL_KNI,Batter
1000278118.0,"Acton, Ty",NMS_AGG,Batter
10023164.0,"Adair, Bryson",UNI_TEX,Pitcher
10008760.0,"Adair, Caleb",TRU_MCC,Batter
1000213094.0,"Adair, Michael",DAY_FLY,Batter
10284417.0,"Adair, Thomas",LON_BEA,Pitcher
1000180253.0,"Adam, Sage",FOR_MAS,Batter
1000055260.0,"Adamiak, Mark",ARK_RAZ,Pitcher
1000098916.0,"Adamo, Nicolas",BUC_BIS,Batter
,"Adams III, Reyfield",ALC_BRA,Batter
1000328467.0,"Adams III, Reyfield",ALC_BRA,Batter
